Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,60.900002,62.919998,60.869999,62.590000,61.151814,16517900
2021-02-25,62.430000,63.169998,61.810001,62.099998,60.673069,17077100
2021-02-26,62.029999,62.700001,61.259998,61.330002,59.920765,13229500
2021-03-01,61.900002,62.070000,61.520000,61.630001,60.213875,7321400
2021-03-02,61.950001,62.180000,61.209999,61.270000,59.862144,9584900
2021-03-03,61.049999,61.349998,59.970001,60.750000,59.354092,13599900
2021-03-04,60.540001,60.959999,58.630001,59.340000,57.976494,17309800
2021-03-05,59.509998,60.590000,59.330002,60.430000,59.041447,14980100
2021-03-08,60.599998,61.720001,60.130001,60.450001,59.060989,10617300
2021-03-09,60.790001,61.860001,60.560001,60.570000,59.178226,12662500
2021-03-10,61.139999,61.279999,60.459999,60.930000,59.529957,10240200
2021-03-11,61.000000,61.189999,60.349998,60.349998,58.963284,10099500
2021-03-12,60.430000,60.939999,60.200001,60.639999,59.246616,8030000
2021-03-15,60.660000,61.439999,60.290001,61.389999,59.979382,10949800
2021-03-16,61.340000,62.139999,61.340000,61.900002,60.477669,10163000
2021-03-17,62.090000,62.540001,61.450001,62.180000,60.751236,9548100
2021-03-18,61.980000,63.240002,61.860001,62.330002,60.897789,12145600
2021-03-19,62.070000,62.750000,61.369999,62.700001,61.259289,32082200
2021-03-22,62.200001,63.520000,62.110001,63.380001,61.923660,16103400
2021-03-23,63.380001,63.529999,62.590000,62.619999,61.181122,11014500
2021-03-24,62.459999,62.889999,62.270000,62.299999,60.868473,9626300
2021-03-25,63.000000,63.000000,61.980000,62.790001,61.347218,11157300
2021-03-26,62.950001,63.980000,62.830002,63.939999,62.470795,12537800
2021-03-29,63.860001,64.419998,63.660000,64.070000,62.597805,9703200
2021-03-30,64.000000,64.080002,63.169998,63.310001,61.855270,12232700
2021-03-31,62.900002,63.770000,62.779999,63.130001,62.160507,12679000
2021-04-01,63.180000,63.340000,62.540001,62.930000,61.963581,9725600
2021-04-05,62.900002,63.599998,62.880001,63.160000,62.190048,8868100
2021-04-06,63.209999,63.299999,61.889999,61.980000,61.028168,14002200
2021-04-07,62.009998,62.540001,61.930000,62.060001,61.106945,11799700
2021-04-08,62.200001,62.419998,61.759998,61.910000,60.959248,7846900
2021-04-09,61.799999,62.639999,61.680000,62.610001,61.648495,7868000
2021-04-12,62.529999,62.779999,62.270000,62.689999,61.727264,11163000
2021-04-13,62.910000,63.740002,62.750000,63.580002,62.603600,9451100
2021-04-14,63.750000,63.959999,63.580002,63.810001,62.830070,7639900
2021-04-15,64.000000,64.730003,63.919998,64.440002,63.450394,9834000
